
Observation dimension: 9
Action feature dimension: 32
Agent initialized on cuda. Starting training...

Ep  480/2000 | Steps:  32 | Util: 0.323 | WUtil: 0.000 | Items: 32/51 | MA50: 0.350 | Best: 0.454 | ε: 0.740 | Loss: 0.0002
Ep  490/2000 | Steps:  30 | Util: 0.400 | WUtil: 0.000 | Items: 30/51 | MA50: 0.355 | Best: 0.454 | ε: 0.735 | Loss: 0.0002
Ep  500/2000 | Steps:  27 | Util: 0.334 | WUtil: 0.000 | Items: 27/51 | MA50: 0.350 | Best: 0.454 | ε: 0.729 | Loss: 0.0002
Ep  510/2000 | Steps:  28 | Util: 0.326 | WUtil: 0.000 | Items: 28/51 | MA50: 0.354 | Best: 0.454 | ε: 0.724 | Loss: 0.0001
Ep  520/2000 | Steps:  25 | Util: 0.341 | WUtil: 0.000 | Items: 25/51 | MA50: 0.356 | Best: 0.454 | ε: 0.718 | Loss: 0.0002
Ep  530/2000 | Steps:  29 | Util: 0.310 | WUtil: 0.000 | Items: 29/51 | MA50: 0.362 | Best: 0.454 | ε: 0.713 | Loss: 0.0002
Ep  540/2000 | Steps:  29 | Util: 0.401 | WUtil: 0.000 | Items: 29/51 | MA50: 0.363 | Best: 0.454 | ε: 0.707 | Loss: 0.0002
Ep  550/2000 | Steps:  29 | Util: 0.347 | WUtil: 0.000 | Items: 29/51 | MA50: 0.370 | Best: 0.454 | ε: 0.701 | Loss: 0.0002
Ep  560/2000 | Steps:  32 | Util: 0.421 | WUtil: 0.000 | Items: 32/51 | MA50: 0.371 | Best: 0.454 | ε: 0.695 | Loss: 0.0002
Ep  570/2000 | Steps:  30 | Util: 0.455 | WUtil: 0.000 | Items: 30/51 | MA50: 0.376 | Best: 0.455 | ε: 0.690 | Loss: 0.0002
Ep  580/2000 | Steps:  31 | Util: 0.388 | WUtil: 0.000 | Items: 31/51 | MA50: 0.377 | Best: 0.455 | ε: 0.684 | Loss: 0.0002
Ep  590/2000 | Steps:  26 | Util: 0.337 | WUtil: 0.000 | Items: 26/51 | MA50: 0.377 | Best: 0.455 | ε: 0.678 | Loss: 0.0002
Ep  600/2000 | Steps:  28 | Util: 0.380 | WUtil: 0.000 | Items: 28/51 | MA50: 0.377 | Best: 0.455 | ε: 0.673 | Loss: 0.0002
Ep  610/2000 | Steps:  27 | Util: 0.361 | WUtil: 0.000 | Items: 27/51 | MA50: 0.375 | Best: 0.455 | ε: 0.667 | Loss: 0.0002
Ep  620/2000 | Steps:  28 | Util: 0.372 | WUtil: 0.000 | Items: 28/51 | MA50: 0.379 | Best: 0.455 | ε: 0.662 | Loss: 0.0001
Ep  630/2000 | Steps:  26 | Util: 0.331 | WUtil: 0.000 | Items: 26/51 | MA50: 0.376 | Best: 0.455 | ε: 0.656 | Loss: 0.0002
Ep  640/2000 | Steps:  27 | Util: 0.332 | WUtil: 0.000 | Items: 27/51 | MA50: 0.372 | Best: 0.455 | ε: 0.651 | Loss: 0.0002
Ep  650/2000 | Steps:  28 | Util: 0.292 | WUtil: 0.000 | Items: 28/51 | MA50: 0.373 | Best: 0.455 | ε: 0.645 | Loss: 0.0002
Ep  660/2000 | Steps:  29 | Util: 0.358 | WUtil: 0.000 | Items: 29/51 | MA50: 0.376 | Best: 0.459 | ε: 0.639 | Loss: 0.0002
Ep  670/2000 | Steps:  27 | Util: 0.347 | WUtil: 0.000 | Items: 27/51 | MA50: 0.376 | Best: 0.459 | ε: 0.634 | Loss: 0.0002
Ep  680/2000 | Steps:  29 | Util: 0.363 | WUtil: 0.000 | Items: 29/51 | MA50: 0.382 | Best: 0.459 | ε: 0.628 | Loss: 0.0001
Ep  690/2000 | Steps:  28 | Util: 0.410 | WUtil: 0.000 | Items: 28/51 | MA50: 0.388 | Best: 0.459 | ε: 0.622 | Loss: 0.0001
Ep  700/2000 | Steps:  30 | Util: 0.356 | WUtil: 0.000 | Items: 30/51 | MA50: 0.389 | Best: 0.459 | ε: 0.617 | Loss: 0.0001
Ep  710/2000 | Steps:  30 | Util: 0.383 | WUtil: 0.000 | Items: 30/51 | MA50: 0.393 | Best: 0.469 | ε: 0.611 | Loss: 0.0001
Ep  720/2000 | Steps:  28 | Util: 0.404 | WUtil: 0.000 | Items: 28/51 | MA50: 0.395 | Best: 0.469 | ε: 0.605 | Loss: 0.0002
Ep  730/2000 | Steps:  32 | Util: 0.446 | WUtil: 0.000 | Items: 32/51 | MA50: 0.394 | Best: 0.469 | ε: 0.600 | Loss: 0.0002
Ep  740/2000 | Steps:  31 | Util: 0.402 | WUtil: 0.000 | Items: 31/51 | MA50: 0.395 | Best: 0.476 | ε: 0.594 | Loss: 0.0002
