ep=152 steps=21 return=1.191 util=0.630 util_ma50=0.719 eps~0.050
ep=153 steps=25 return=1.306 util=0.692 util_ma50=0.719 eps~0.050
ep=154 steps=23 return=1.353 util=0.716 util_ma50=0.718 eps~0.050
ep=155 steps=23 return=1.279 util=0.678 util_ma50=0.717 eps~0.050
ep=156 steps=15 return=1.292 util=0.672 util_ma50=0.717 eps~0.050
ep=157 steps=23 return=1.368 util=0.726 util_ma50=0.717 eps~0.050
ep=158 steps=27 return=1.339 util=0.718 util_ma50=0.717 eps~0.050
ep=159 steps=23 return=1.376 util=0.727 util_ma50=0.717 eps~0.050
ep=160 steps=22 return=1.297 util=0.685 util_ma50=0.718 eps~0.050
ep=161 steps=28 return=1.294 util=0.695 util_ma50=0.718 eps~0.050
ep=162 steps=22 return=1.381 util=0.732 util_ma50=0.716 eps~0.050
ep=163 steps=23 return=1.320 util=0.701 util_ma50=0.716 eps~0.050
ep=164 steps=22 return=1.261 util=0.668 util_ma50=0.714 eps~0.050
ep=165 steps=19 return=1.382 util=0.729 util_ma50=0.714 eps~0.050
ep=166 steps=23 return=1.268 util=0.669 util_ma50=0.713 eps~0.050
ep=167 steps=21 return=1.356 util=0.716 util_ma50=0.713 eps~0.050
ep=168 steps=22 return=1.422 util=0.752 util_ma50=0.714 eps~0.050
ep=169 steps=22 return=1.411 util=0.740 util_ma50=0.715 eps~0.050
ep=170 steps=21 return=1.279 util=0.677 util_ma50=0.713 eps~0.050
ep=171 steps=20 return=1.336 util=0.704 util_ma50=0.713 eps~0.050
ep=172 steps=24 return=1.333 util=0.709 util_ma50=0.713 eps~0.050
ep=173 steps=24 return=1.304 util=0.693 util_ma50=0.712 eps~0.050
ep=174 steps=18 return=1.348 util=0.703 util_ma50=0.712 eps~0.050
ep=175 steps=21 return=1.319 util=0.696 util_ma50=0.712 eps~0.050
ep=176 steps=20 return=1.372 util=0.725 util_ma50=0.713 eps~0.050
ep=177 steps=24 return=1.380 util=0.737 util_ma50=0.713 eps~0.050
ep=178 steps=19 return=1.337 util=0.703 util_ma50=0.713 eps~0.050
ep=179 steps=23 return=1.381 util=0.736 util_ma50=0.714 eps~0.050
ep=180 steps=19 return=1.413 util=0.742 util_ma50=0.714 eps~0.050
ep=181 steps=21 return=1.364 util=0.720 util_ma50=0.714 eps~0.050
ep=182 steps=28 return=1.315 util=0.705 util_ma50=0.713 eps~0.050
ep=183 steps=23 return=1.271 util=0.673 util_ma50=0.712 eps~0.050
ep=184 steps=26 return=1.287 util=0.687 util_ma50=0.710 eps~0.050
ep=185 steps=22 return=1.418 util=0.749 util_ma50=0.710 eps~0.050
ep=186 steps=24 return=1.236 util=0.657 util_ma50=0.709 eps~0.050
ep=187 steps=21 return=1.353 util=0.713 util_ma50=0.709 eps~0.050
ep=188 steps=21 return=1.222 util=0.644 util_ma50=0.707 eps~0.050
ep=189 steps=23 return=1.369 util=0.724 util_ma50=0.707 eps~0.050
ep=190 steps=20 return=1.282 util=0.676 util_ma50=0.706 eps~0.050
ep=191 steps=26 return=1.414 util=0.755 util_ma50=0.706 eps~0.050
ep=192 steps=25 return=1.419 util=0.753 util_ma50=0.707 eps~0.050
ep=193 steps=22 return=1.360 util=0.718 util_ma50=0.707 eps~0.050
ep=194 steps=22 return=1.329 util=0.705 util_ma50=0.708 eps~0.050
ep=195 steps=25 return=1.332 util=0.711 util_ma50=0.708 eps~0.050
ep=196 steps=24 return=1.312 util=0.696 util_ma50=0.708 eps~0.050
ep=197 steps=23 return=1.266 util=0.668 util_ma50=0.706 eps~0.050
ep=198 steps=23 return=1.333 util=0.709 util_ma50=0.705 eps~0.050
ep=199 steps=24 return=1.306 util=0.693 util_ma50=0.704 eps~0.050
ep=200 steps=24 return=1.358 util=0.720 util_ma50=0.705 eps~0.050
ep=201 steps=26 return=1.328 util=0.706 util_ma50=0.705 eps~0.050
ep=202 steps=22 return=1.311 util=0.693 util_ma50=0.706 eps~0.050
ep=203 steps=22 return=1.372 util=0.724 util_ma50=0.707 eps~0.050
ep=204 steps=23 return=1.402 util=0.742 util_ma50=0.707 eps~0.050
ep=205 steps=19 return=1.334 util=0.700 util_ma50=0.708 eps~0.050
ep=206 steps=22 return=1.410 util=0.748 util_ma50=0.709 eps~0.050
ep=207 steps=27 return=1.362 util=0.727 util_ma50=0.709 eps~0.050
ep=208 steps=22 return=1.483 util=0.785 util_ma50=0.711 eps~0.050
ep=209 steps=22 return=1.334 util=0.704 util_ma50=0.710 eps~0.050
ep=210 steps=24 return=1.244 util=0.660 util_ma50=0.710 eps~0.050
ep=211 steps=24 return=1.261 util=0.669 util_ma50=0.709 eps~0.050
ep=212 steps=19 return=1.207 util=0.632 util_ma50=0.707 eps~0.050
ep=213 steps=18 return=1.304 util=0.683 util_ma50=0.707 eps~0.050
ep=214 steps=27 return=1.391 util=0.744 util_ma50=0.708 eps~0.050
ep=215 steps=23 return=1.378 util=0.733 util_ma50=0.709 eps~0.050
ep=216 steps=19 return=1.395 util=0.730 util_ma50=0.710 eps~0.050
ep=217 steps=27 return=1.284 util=0.685 util_ma50=0.709 eps~0.050
ep=218 steps=22 return=1.203 util=0.634 util_ma50=0.707 eps~0.050
ep=219 steps=20 return=1.241 util=0.651 util_ma50=0.705 eps~0.050
ep=220 steps=21 return=1.272 util=0.670 util_ma50=0.705 eps~0.050
ep=221 steps=23 return=1.267 util=0.671 util_ma50=0.704 eps~0.050
ep=222 steps=24 return=1.383 util=0.733 util_ma50=0.705 eps~0.050
ep=223 steps=28 return=1.305 util=0.700 util_ma50=0.705 eps~0.050
ep=224 steps=27 return=1.343 util=0.716 util_ma50=0.705 eps~0.050
ep=225 steps=27 return=1.158 util=0.618 util_ma50=0.704 eps~0.050
ep=226 steps=23 return=1.425 util=0.753 util_ma50=0.704 eps~0.050
ep=227 steps=24 return=1.245 util=0.659 util_ma50=0.703 eps~0.050
ep=228 steps=24 return=1.241 util=0.657 util_ma50=0.702 eps~0.050
ep=229 steps=24 return=1.325 util=0.704 util_ma50=0.701 eps~0.050
ep=230 steps=23 return=1.332 util=0.710 util_ma50=0.700 eps~0.050
ep=231 steps=27 return=1.258 util=0.669 util_ma50=0.699 eps~0.050
ep=232 steps=21 return=1.351 util=0.714 util_ma50=0.700 eps~0.050
ep=233 steps=24 return=1.417 util=0.753 util_ma50=0.701 eps~0.050
ep=234 steps=25 return=1.395 util=0.743 util_ma50=0.702 eps~0.050
ep=235 steps=24 return=1.319 util=0.700 util_ma50=0.701 eps~0.050
ep=236 steps=20 return=1.128 util=0.595 util_ma50=0.700 eps~0.050
ep=237 steps=20 return=1.374 util=0.724 util_ma50=0.700 eps~0.050
ep=238 steps=25 return=1.388 util=0.740 util_ma50=0.702 eps~0.050
ep=239 steps=23 return=1.294 util=0.685 util_ma50=0.701 eps~0.050
ep=240 steps=20 return=1.347 util=0.713 util_ma50=0.702 eps~0.050
ep=241 steps=16 return=1.233 util=0.642 util_ma50=0.700 eps~0.050
ep=242 steps=28 return=1.409 util=0.758 util_ma50=0.700 eps~0.050
